328	145
250	293
338	104
173	299
175	241
296	191
328	105
302	365
212	468
276	399
306	15
426	473
333	253
356	500
179	461
301	24
309	32
188	417
332	71
232	145
299	109
361	332
399	394
363	261
295	247
307	196
251	191
121	467
243	100
75	479
132	465
277	91
280	99
285	443
301	443
289	29
296	382
151	349
325	95
395	247
304	179
260	247
114	351
278	431
480	400
278	308
251	432
302	244
396	475
261	164
363	259
505	517
429	418
224	334
350	90
295	102
186	474
261	218
370	123
127	398
307	27
215	279
224	144
190	205
287	46
434	385
330	199
68	414
304	39
256	302
204	299
281	158
272	186
114	463
144	311
373	137
367	145
284	65
40	495
284	32
96	381
278	371
419	433
358	326
272	413
157	439
356	236
228	232
214	353
339	248
353	225
334	225
423	260
299	35
383	214
298	61
221	143
326	47
283	463
189	506
254	243
172	429
299	100
364	326
224	332
81	385
340	187
308	71
364	302
346	170
180	231
170	284
511	382
547	458
346	368
259	99
493	423
291	20
381	253
334	411
189	354
188	271
424	232
432	413
493	394
365	267
118	471
331	253
169	481
251	497
315	109
257	157
300	41
303	53
302	315
105	442
452	323
344	100
247	384
326	229
303	9
292	15
374	238
128	360
339	405
310	26
344	200
312	190
127	325
243	194
269	89
470	477
337	299
150	442
308	22
268	177
378	183
333	67
350	227
298	242
277	104
228	216
382	165
251	493
355	211
331	196
459	455
109	438
300	45
253	207
112	505
169	382
233	190
344	159
429	500
386	478
337	268
289	56
336	396
395	170
420	394
462	364
91	412
274	191
514	419
118	430
163	519
558	489
316	54
214	251
550	487
32	489
300	267
277	46
300	14
229	173
219	308
292	67
516	516
115	369
144	416
237	245
446	254
254	142
308	44
477	495
283	397
392	405
231	209
251	102
319	142
327	417
300	2
244	177
337	187
405	457
279	304
218	254
260	287
121	494
267	265
391	199
305	10
349	98
239	163
328	52
197	286
352	435
367	133
555	463
250	93
363	340
299	88
303	17
325	260
362	117
309	61
407	257
300	1
483	403
286	65
379	235
164	371
286	35
372	201
307	35
392	332
145	315
91	495
300	9
332	105
312	488
483	446
244	295
301	11
382	200
114	482
239	273
297	106
325	145
260	495
337	406
316	326
307	17
143	492
361	150
152	393
303	19
279	404
440	321
420	209
255	161
5	519
177	481
382	162
475	336
277	245
347	349
336	171
361	109
300	181
447	452
271	100
354	99
299	20
108	460
322	487
481	481
315	424
339	94
257	151
183	462
295	59
327	141
509	427
221	171
189	211
429	230
242	512
464	302
73	446
320	158
283	56
260	120
136	300
411	482
278	55
316	98
282	94
227	380
252	96
226	368
581	500
352	96
539	465
355	140
308	35
278	204
395	304
125	404
303	47
373	171
253	493
518	485
329	462
278	254
457	401
316	217
71	420
202	319
232	121
247	124
412	307
297	12
322	292
327	48
211	254
226	256
331	336
530	431
397	364
331	91
270	103
319	42
108	339
334	110
435	432
198	208
425	320
258	474
424	332
473	471
19	513
104	412
411	205
343	216
253	506
325	389
290	237
453	429
357	298
427	266
514	436
282	140
367	428
381	214
331	83
66	428
300	49
346	91
131	504
130	419
215	226
153	378
296	78
301	148
273	342
108	393
185	324
313	76
206	293
218	158
305	132
479	374
406	292
270	70
288	173
263	164
436	454
249	179
387	168
151	352
425	318
339	151
269	187
237	436
559	486
314	337
406	457
309	278
401	227
159	328
177	435
338	106
257	487
204	505
290	274
135	466
227	190
536	491
289	124
339	289
292	87
174	223
328	137
349	171
412	380
243	112
300	4
456	388
296	158
242	317
361	384
217	345
294	83
342	179
188	290
181	358
300	6
406	254
583	512
281	224
407	299
111	418
303	274
302	29
189	304
320	38
214	438
462	514
351	209
316	415
314	250
355	102
298	441
506	505
300	9
348	95
346	398
292	56
263	160
250	109
242	301
293	15
387	479
221	278
182	234
184	381
333	98
425	416
111	468
249	396
287	512
300	2
349	304
271	489
386	170
355	165
324	369
301	116
496	421
351	436
163	378
261	112
87	513
118	453
316	54
368	121
231	183
86	392
300	54
370	254
105	499
218	313
363	319
237	163
269	63
196	217
287	32
209	351
293	169
300	2
287	145
398	401
310	116
124	334
300	2
121	343
340	96
308	17
341	129
227	487
315	80
260	276
166	350
61	494
256	86
492	383
192	213
61	494
303	60
306	185
501	423
297	21
277	107
216	390
394	276
151	363
223	351
298	7
318	99
365	134
322	84
449	277
102	486
